archetypeName,url,common,uncommon,rare,strength,dexterity,constitution,wisdom,intelligence,charisma,innate,spontaneous,prepared,metastrike,skillScaling,reaction,focusSpells,weaponFamiliarity,resistance,infiniteHealing,multiclass,stance,exploration,skillFeats,minion,unarmed,arcane,divine,occult,primal,alchemy
Dandy,https://2e.aonprd.com/Archetypes.aspx?ID=246,TRUE,,,,,,,,,TRUE,,,,TRUE,TRUE,,,,,,,,TRUE,,,,,TRUE,,
Demolitionist,https://2e.aonprd.com/Archetypes.aspx?ID=118,FALSE,TRUE,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,
Draconic Acolyte,https://2e.aonprd.com/Archetypes.aspx?ID=333,FALSE,TRUE,,,,,,,,TRUE,,,,,TRUE,,,TRUE,,,,,,,,TRUE,TRUE,TRUE,TRUE,
Dragon Disciple,https://2e.aonprd.com/Archetypes.aspx?ID=56,FALSE,TRUE,,,,,,,TRUE,,,,,,,TRUE,,TRUE,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,
Drake Rider,https://2e.aonprd.com/Archetypes.aspx?ID=334,FALSE,TRUE,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,
Druid,https://2e.aonprd.com/Archetypes.aspx?ID=213,TRUE,,,,,,TRUE,,,,,TRUE,,,,TRUE,,TRUE,TRUE,,,,,TRUE,,,,,TRUE,
Dual-Weapon Warrior,https://2e.aonprd.com/Archetypes.aspx?ID=247,TRUE,,,TRUE,TRUE,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,
Duelist,https://2e.aonprd.com/Archetypes.aspx?ID=248,TRUE,,,,,,,,,,,,TRUE,,TRUE,,,,,,TRUE,,,,,,,,,
Eagle Knight,https://2e.aonprd.com/Archetypes.aspx?ID=314,FALSE,TRUE,,,,,,,TRUE,,,,TRUE,,TRUE,,,TRUE,,,,TRUE,,,,,,,,
Edgewatch Detective,https://2e.aonprd.com/Archetypes.aspx?ID=85,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eldritch Archer,https://2e.aonprd.com/Archetypes.aspx?ID=249,TRUE,,,,TRUE,,,,TRUE,,TRUE,,TRUE,,,,,,,,,,,,,,,,,
Eldritch Researcher,https://2e.aonprd.com/Archetypes.aspx?ID=89,FALSE,TRUE,,,,,,TRUE,,TRUE,,,,,,TRUE,,TRUE,,,,,,,,,,TRUE,,
Exemplar,https://2e.aonprd.com/Archetypes.aspx?ID=281,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exorcist,https://2e.aonprd.com/Archetypes.aspx?ID=171,TRUE,,,,,,,,,,,,,,TRUE,,,,TRUE,,,TRUE,,,,,,,,
Familiar Master,https://2e.aonprd.com/Archetypes.aspx?ID=250,TRUE,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,
Familiar Sage,https://2e.aonprd.com/Archetypes.aspx?ID=279,TRUE,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,
Fan Dancer,https://2e.aonprd.com/Archetypes.aspx?ID=276,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field Propagandist,https://2e.aonprd.com/Archetypes.aspx?ID=326,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fighter,https://2e.aonprd.com/Archetypes.aspx?ID=214,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Firebrand Braggart,https://2e.aonprd.com/Archetypes.aspx?ID=24,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Firework Technician,https://2e.aonprd.com/Archetypes.aspx?ID=119,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Five-breath Vanguard,https://2e.aonprd.com/Archetypes.aspx?ID=272,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Folklorist,https://2e.aonprd.com/Archetypes.aspx?ID=105,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Game Hunter,https://2e.aonprd.com/Archetypes.aspx?ID=169,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geomancer,https://2e.aonprd.com/Archetypes.aspx?ID=100,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghost,https://2e.aonprd.com/Archetypes.aspx?ID=177,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghost Eater,https://2e.aonprd.com/Archetypes.aspx?ID=92,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghost Hunter,https://2e.aonprd.com/Archetypes.aspx?ID=88,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghoul,https://2e.aonprd.com/Archetypes.aspx?ID=178,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gladiator,https://2e.aonprd.com/Archetypes.aspx?ID=251,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden League Xun,https://2e.aonprd.com/Archetypes.aspx?ID=93,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golem Grafter,https://2e.aonprd.com/Archetypes.aspx?ID=39,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gray Gardener,https://2e.aonprd.com/Archetypes.aspx?ID=124,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guardian,https://2e.aonprd.com/Archetypes.aspx?ID=323,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guerrilla,https://2e.aonprd.com/Archetypes.aspx?ID=327,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gunslinger,https://2e.aonprd.com/Archetypes.aspx?ID=114,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halcyon Speaker,https://2e.aonprd.com/Archetypes.aspx?ID=30,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hallowed Necromancer,https://2e.aonprd.com/Archetypes.aspx?ID=172,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harrower,https://2e.aonprd.com/Archetypes.aspx?ID=204,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hellbreaker,https://2e.aonprd.com/Archetypes.aspx?ID=353,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hellknight,https://2e.aonprd.com/Archetypes.aspx?ID=25,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hellknight Armiger,https://2e.aonprd.com/Archetypes.aspx?ID=20,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hellknight Signifer,https://2e.aonprd.com/Archetypes.aspx?ID=26,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Herbalist,https://2e.aonprd.com/Archetypes.aspx?ID=252,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horizon Walker,https://2e.aonprd.com/Archetypes.aspx?ID=63,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inventor,https://2e.aonprd.com/Archetypes.aspx?ID=108,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Investigator,https://2e.aonprd.com/Archetypes.aspx?ID=231,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridian Choirmaster,https://2e.aonprd.com/Archetypes.aspx?ID=328,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalmeri Heavenseeker,https://2e.aonprd.com/Archetypes.aspx?ID=198,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juggler,https://2e.aonprd.com/Archetypes.aspx?ID=36,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kitharodian Actor,https://2e.aonprd.com/Archetypes.aspx?ID=301,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kineticist,https://2e.aonprd.com/Archetypes.aspx?ID=206,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knight Reclaimant,https://2e.aonprd.com/Archetypes.aspx?ID=28,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knight Vigilant,https://2e.aonprd.com/Archetypes.aspx?ID=27,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lastwall Sentry,https://2e.aonprd.com/Archetypes.aspx?ID=15,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepidstadt Surgeon,https://2e.aonprd.com/Archetypes.aspx?ID=302,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lich,https://2e.aonprd.com/Archetypes.aspx?ID=179,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linguist,https://2e.aonprd.com/Archetypes.aspx?ID=253,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lion Blade,https://2e.aonprd.com/Archetypes.aspx?ID=319,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Living Monolith,https://2e.aonprd.com/Archetypes.aspx?ID=16,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Living Vessel,https://2e.aonprd.com/Archetypes.aspx?ID=345,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loremaster,https://2e.aonprd.com/Archetypes.aspx?ID=65,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magaambyan Attendant,https://2e.aonprd.com/Archetypes.aspx?ID=29,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magic Warrior,https://2e.aonprd.com/Archetypes.aspx?ID=19,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magus,https://2e.aonprd.com/Archetypes.aspx?ID=95,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mammoth Lord,https://2e.aonprd.com/Archetypes.aspx?ID=170,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshal,https://2e.aonprd.com/Archetypes.aspx?ID=254,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martial Artist,https://2e.aonprd.com/Archetypes.aspx?ID=255,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauler,https://2e.aonprd.com/Archetypes.aspx?ID=256,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medic,https://2e.aonprd.com/Archetypes.aspx?ID=257,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mind Smith,https://2e.aonprd.com/Archetypes.aspx?ID=351,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monk,https://2e.aonprd.com/Archetypes.aspx?ID=232,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mortal Herald,https://2e.aonprd.com/Archetypes.aspx?ID=305,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mummy,https://2e.aonprd.com/Archetypes.aspx?ID=180,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nantambu Chime-Ringer,https://2e.aonprd.com/Archetypes.aspx?ID=106,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Necrologist,https://2e.aonprd.com/Archetypes.aspx?ID=330,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oatia Skysage,https://2e.aonprd.com/Archetypes.aspx?ID=335,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oozemorph,https://2e.aonprd.com/Archetypes.aspx?ID=84,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oracle,https://2e.aonprd.com/Archetypes.aspx?ID=233,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ostilli Host,https://2e.aonprd.com/Archetypes.aspx?ID=222,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overwatch,https://2e.aonprd.com/Archetypes.aspx?ID=109,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pactbinder,https://2e.aonprd.com/Archetypes.aspx?ID=346,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pactbound Initiate,https://2e.aonprd.com/Archetypes.aspx?ID=167,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pathfinder Agent,https://2e.aonprd.com/Archetypes.aspx?ID=13,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pirate,https://2e.aonprd.com/Archetypes.aspx?ID=258,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pistol Phenom,https://2e.aonprd.com/Archetypes.aspx?ID=120,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poisoner,https://2e.aonprd.com/Archetypes.aspx?ID=259,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prophet of Kalistrade,https://2e.aonprd.com/Archetypes.aspx?ID=315,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provocator,https://2e.aonprd.com/Archetypes.aspx?ID=87,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psychic,https://2e.aonprd.com/Archetypes.aspx?ID=342,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psychic Duelist,https://2e.aonprd.com/Archetypes.aspx?ID=350,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranger,https://2e.aonprd.com/Archetypes.aspx?ID=215,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Razmiran Priest,https://2e.aonprd.com/Archetypes.aspx?ID=307,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reanimator,https://2e.aonprd.com/Archetypes.aspx?ID=175,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Mantis Assassin,https://2e.aonprd.com/Archetypes.aspx?ID=271,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ritualist,https://2e.aonprd.com/Archetypes.aspx?ID=260,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rivethun Emissary,https://2e.aonprd.com/Archetypes.aspx?ID=308,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rivethun Invoker,https://2e.aonprd.com/Archetypes.aspx?ID=309,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rivethun Involutionist,https://2e.aonprd.com/Archetypes.aspx?ID=310,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rogue,https://2e.aonprd.com/Archetypes.aspx?ID=216,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Runescarred,https://2e.aonprd.com/Archetypes.aspx?ID=21,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sanguimancer,https://2e.aonprd.com/Archetypes.aspx?ID=321,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scions of Domora,https://2e.aonprd.com/Archetypes.aspx?ID=336,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scout,https://2e.aonprd.com/Archetypes.aspx?ID=261,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scroll Trickster,https://2e.aonprd.com/Archetypes.aspx?ID=262,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scrollmaster,https://2e.aonprd.com/Archetypes.aspx?ID=31,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scrounger,https://2e.aonprd.com/Archetypes.aspx?ID=263,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sentinel,https://2e.aonprd.com/Archetypes.aspx?ID=264,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadowcaster,https://2e.aonprd.com/Archetypes.aspx?ID=101,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadowdancer,https://2e.aonprd.com/Archetypes.aspx?ID=77,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shieldmarshal,https://2e.aonprd.com/Archetypes.aspx?ID=197,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sixth Pillar,https://2e.aonprd.com/Archetypes.aspx?ID=94,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sleepwalker,https://2e.aonprd.com/Archetypes.aspx?ID=352,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snarecrafter,https://2e.aonprd.com/Archetypes.aspx?ID=265,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sniping Duo,https://2e.aonprd.com/Archetypes.aspx?ID=121,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sorcerer,https://2e.aonprd.com/Archetypes.aspx?ID=234,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soul Warden,https://2e.aonprd.com/Archetypes.aspx?ID=173,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soulforger,https://2e.aonprd.com/Archetypes.aspx?ID=102,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spell Trickster,https://2e.aonprd.com/Archetypes.aspx?ID=126,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spellmaster,https://2e.aonprd.com/Archetypes.aspx?ID=32,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spirit Warrior,https://2e.aonprd.com/Archetypes.aspx?ID=274,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff Acrobat,https://2e.aonprd.com/Archetypes.aspx?ID=37,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stalwart Defender,https://2e.aonprd.com/Archetypes.aspx?ID=205,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlit Sentinel,https://2e.aonprd.com/Archetypes.aspx?ID=275,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sterling Dynamo,https://2e.aonprd.com/Archetypes.aspx?ID=110,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stone Brawler,https://2e.aonprd.com/Archetypes.aspx?ID=209,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stonebound,https://2e.aonprd.com/Archetypes.aspx?ID=210,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Student of Perfection,https://2e.aonprd.com/Archetypes.aspx?ID=18,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summoner,https://2e.aonprd.com/Archetypes.aspx?ID=96,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swarmkeeper,https://2e.aonprd.com/Archetypes.aspx?ID=223,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swashbuckler,https://2e.aonprd.com/Archetypes.aspx?ID=235,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swordmaster,https://2e.aonprd.com/Archetypes.aspx?ID=33,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Talisman Dabbler,https://2e.aonprd.com/Archetypes.aspx?ID=266,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tattooed Historian,https://2e.aonprd.com/Archetypes.aspx?ID=313,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thaumaturge,https://2e.aonprd.com/Archetypes.aspx?ID=343,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thlipit Contestant,https://2e.aonprd.com/Archetypes.aspx?ID=224,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time Mage,https://2e.aonprd.com/Archetypes.aspx?ID=348,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trapsmith,https://2e.aonprd.com/Archetypes.aspx?ID=111,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
